Date,Flow
2001-01-01,9.4935
2001-01-02,8.3672
2001-01-03,7.6866
2001-01-04,6.941
2001-01-05,6.5349
2001-01-06,6.0596
2001-01-07,7.6209
2001-01-08,7.4374
2001-01-09,6.506
2001-01-10,6.323
2001-01-11,6.0289
2001-01-12,5.875
2001-01-13,6.1602
2001-01-14,6.8505
2001-01-15,7.8278
2001-01-16,13.2958
2001-01-17,16.5321
2001-01-18,15.669
2001-01-19,14.1353
2001-01-20,12.2641
2001-01-21,10.7555
2001-01-22,10.1316
2001-01-23,9.6548
2001-01-24,9.968
2001-01-25,9.3078
2001-01-26,9.1752
2001-01-27,7.8341
2001-01-28,8.0239
2001-01-29,10.0667
2001-01-30,9.7009
2001-01-31,9.3276
2001-02-01,8.6194
2001-02-02,8.0881
2001-02-03,7.679
2001-02-04,6.9747
2001-02-05,7.5816
2001-02-06,7.8135
2001-02-07,8.1849
2001-02-08,7.2125
2001-02-09,6.9796
2001-02-10,6.7922
2001-02-11,6.3649
2001-02-12,6.32
2001-02-13,6.3483
2001-02-14,13.8799
2001-02-15,11.4414
2001-02-16,9.936
2001-02-17,8.8141
2001-02-18,7.8925
2001-02-19,7.7121
2001-02-20,7.5911
2001-02-21,6.8961
2001-02-22,5.9768
2001-02-23,6.7899
2001-02-24,6.32
2001-02-25,6.5372
2001-02-26,6.4829
2001-02-27,6.8229
2001-02-28,6.4604
2001-03-01,6.8785
2001-03-02,6.5409
2001-03-03,8.293
2001-03-04,10.5114
2001-03-05,10.3621
2001-03-06,9.728
2001-03-07,9.7874
2001-03-08,14.8688
2001-03-09,15.9081
2001-03-10,15.2783
2001-03-11,14.9952
2001-03-12,13.9648
2001-03-13,13.502
2001-03-14,14.4948
2001-03-15,13.6681
2001-03-16,11.5682
2001-03-17,10.6797
2001-03-18,10.6197
2001-03-19,9.9482
2001-03-20,9.2898
2001-03-21,10.2529
2001-03-22,9.5655
2001-03-23,8.8737
2001-03-24,8.3886
2001-03-25,8.1636
2001-03-26,7.9611
2001-03-27,8.4516
2001-03-28,8.9861
2001-03-29,6.9804
2001-03-30,7.5766
2001-03-31,7.1053
2001-04-01,6.5792
2001-04-02,6.3997
2001-04-03,6.1346
2001-04-04,5.7805
2001-04-05,6.2083
2001-04-06,6.2126
2001-04-07,6.2298
2001-04-08,5.3975
2001-04-09,5.9727
2001-04-10,5.7309
2001-04-11,5.7442
2001-04-12,5.6259
2001-04-13,5.8959
2001-04-14,5.3195
2001-04-15,5.3452
2001-04-16,5.79
2001-04-17,5.8233
2001-04-18,5.7259
2001-04-19,5.4501
2001-04-20,5.4185
2001-04-21,5.3941
2001-04-22,4.7959
2001-04-23,5.1414
2001-04-24,4.916
2001-04-25,5.0523
2001-04-26,5.003
2001-04-27,5.5388
2001-04-28,6.6165
2001-04-29,6.4144
2001-04-30,7.859
