Date,Flow
2001-01-01,15.278
2001-01-02,14.711
2001-01-03,11.386
2001-01-04,9.958
2001-01-05,8.722
2001-01-06,17.81
2001-01-07,29.885
2001-01-08,22.164
2001-01-09,16.402
2001-01-10,14.555
2001-01-11,13.101
2001-01-12,12.832
2001-01-13,12.116
2001-01-14,18.071
2001-01-15,24.677
2001-01-16,33.537
2001-01-17,30.622
2001-01-18,24.57
2001-01-19,20.36
2001-01-20,17.764
2001-01-21,15.424
2001-01-22,14.375
2001-01-23,13.549
2001-01-24,14.069
2001-01-25,15.303
2001-01-26,13.891
2001-01-27,13.028
2001-01-28,12.836
2001-01-29,12.378
2001-01-30,10.715
2001-01-31,10.223
2001-02-01,9.604
2001-02-02,8.622
2001-02-03,8.285
2001-02-04,8.305
2001-02-05,8.16
2001-02-06,8.331
2001-02-07,8.99
2001-02-08,8.817
2001-02-09,6.859
2001-02-10,7.328
2001-02-11,7.263
2001-02-12,7.111
2001-02-13,6.985
2001-02-14,7.013
2001-02-15,7.331
2001-02-16,6.794
2001-02-17,6.736
2001-02-18,6.409
2001-02-19,6.641
2001-02-20,6.357
2001-02-21,7.974
2001-02-22,8.229
2001-02-23,5.767
2001-02-24,5.836
2001-02-25,5.857
2001-02-26,5.536
2001-02-27,5.528
2001-02-28,5.287
2001-03-01,4.949
2001-03-02,5.55
2001-03-03,5.949
2001-03-04,5.547
2001-03-05,5.856
2001-03-06,6.032
2001-03-07,6.573
2001-03-08,25.08
2001-03-09,23.256
2001-03-10,16.3
2001-03-11,16.363
2001-03-12,14.599
2001-03-13,20.33
2001-03-14,15.972
2001-03-15,13.803
2001-03-16,12.96
2001-03-17,12.548
2001-03-18,11.209
2001-03-19,10.917
2001-03-20,10.759
2001-03-21,11.024
2001-03-22,12.647
2001-03-23,13.817
2001-03-24,13.285
2001-03-25,12.488
2001-03-26,12.282
2001-03-27,10.673
2001-03-28,11.456
2001-03-29,8.848
2001-03-30,7.66
2001-03-31,6.837
2001-04-01,6.468
2001-04-02,6.789
2001-04-03,6.893
2001-04-04,6.935
2001-04-05,6.591
2001-04-06,6.868
2001-04-07,6.838
2001-04-08,7.319
2001-04-09,6.83
2001-04-10,5.85
